chromosome	start	end	strand	ddb_g	genename	description
chr1	1890	3287	+	DDB_G0267178	DDB_G0267178_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	3848	4855	+	DDB_G0267180	DDB_G0267180_RTE	ORF1 protein of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	5505	7769	+	DDB_G0267182	DDB_G0267182_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	8308	9522	-	DDB_G0267184	DDB_G0267184_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	9635	9889	-	DDB_G0267186	DDB_G0267186_RTE	ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	10033	12183	+	DDB_G0267188	DDB_G0267188_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	12436	13044	-	DDB_G0267190	DDB_G0267190_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	17379	17833	+	DDB_G0267194	DDB_G0267194	NA
chr1	17928	18299	+	DDB_G0267196	DDB_G0267196	NA
chr1	18497	18694	+	DDB_G0267198	DDB_G0267198	NA
chr1	20869	21249	+	DDB_G0267202	DDB_G0267202_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-B%3B refer to AF298202 for full-length consensus element
chr1	21490	23468	+	DDB_G0267204	DDB_G0267204_ps	putative pseudogene%3B similar to a family of genes%2C including %3Ca href%3D%22%2Fgene%2FDDB_G0267252%22%3EDDB_G0267252%3C%2Fa%3E
chr1	23929	26416	+	DDB_G0267206	DDB_G0267206_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	28333	28920	+	DDB_G0267208	DDB_G0267208_RTE	ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	29137	32238	+	DDB_G0267210	DDB_G0267210_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	36170	36667	-	DDB_G0267216	DDB_G0267216	NA
chr1	36858	37064	-	DDB_G0267218	DDB_G0267218	NA
chr1	37303	37533	-	DDB_G0267220	DDB_G0267220	NA
chr1	38063	38542	-	DDB_G0267222	DDB_G0267222	NA
chr1	38714	39010	-	DDB_G0267224	DDB_G0267224	NA
chr1	39234	39494	-	DDB_G0267226	DDB_G0267226	NA
chr1	39890	42049	+	DDB_G0267228	DDB_G0267228_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-B%3B refer to AF298202 for full-length consensus element
chr1	42193	43179	+	DDB_G0267230	DDB_G0267230	NA
chr1	46105	48369	-	DDB_G0267236	DDB_G0267236_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	49019	50026	-	DDB_G0267238	DDB_G0267238_RTE	ORF1 protein of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	52425	54982	-	DDB_G0267240	DDB_G0267240_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	55333	56177	-	DDB_G0267242	DDB_G0267242_RTE	ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	56374	56811	-	DDB_G0267264	DDB_G0267264_RTE	ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	57242	59413	-	DDB_G0267244	DDB_G0267244_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	60063	61070	-	DDB_G0267246	DDB_G0267246_RTE	ORF1 protein of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	61559	62221	-	DDB_G0267248	DDB_G0267248_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	63591	66041	+	DDB_G0267250	DDB_G0267250_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-B%3B refer to AF298202 for full-length consensus element
chr1	66189	67191	+	DDB_G0267252	DDB_G0267252	NA
chr1	68992	72709	+	DDB_G0267254	DDB_G0267254_ps	putative pseudogene
chr1	74542	76806	-	DDB_G0267258	DDB_G0267258_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	77456	78463	-	DDB_G0267260	DDB_G0267260_RTE	ORF1 protein of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	79066	79773	-	DDB_G0267262	DDB_G0267262_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	88569	88844	-	DDB_G0267270	DDB_G0267270_RTE	small ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	89316	90391	+	DDB_G0267272	DDB_G0267272_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	90719	92580	+	DDB_G0267274	DDB_G0267274_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	94094	94636	-	DDB_G0267278	DDB_G0267278_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	94704	96086	-	DDB_G0267280	DDB_G0267280_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	97144	98073	-	DDB_G0267282	DDB_G0267282_RTE	ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	100754	101026	-	DDB_G0267286	DDB_G0267286	NA
chr1	104223	105230	+	DDB_G0267292	DDB_G0267292_RTE	ORF1 protein of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	105880	108144	+	DDB_G0267294	DDB_G0267294_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	108593	109261	-	DDB_G0267296	DDB_G0267296_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	109429	109997	-	DDB_G0267298	DDB_G0267298_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	110783	112804	+	DDB_G0267300	DDB_G0267300_RTE	ORF1%2FORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	113142	113324	-	DDB_G0267302	DDB_G0267302_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	114394	116973	+	DDB_G0267304	DDB_G0267304_RTE	ORF3 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	117148	121209	-	DDB_G0267306	DDB_G0267306_RTE	long terminal repeat retrotransposon Skipper GAG-PRO-POL%3B refer to GenBank AF049230 for full length consensus element
chr1	121433	121843	-	DDB_G0267308	DDB_G0267308_RTE	ORF1 encoding GAG and protease (PRO) proteins of long terminal repeat retrotransposon Skipper%3B refer to AF049230 for consensus element
chr1	121880	122398	-	DDB_G0267310	DDB_G0267310_RTE	ORF1 encoding GAG and protease (PRO) proteins of long terminal repeat retrotransposon Skipper%3B refer to AF049230 for consensus element
chr1	123714	124664	-	DDB_G0267314	DDB_G0267314_RTE	fused fragments of the DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	127571	128086	-	DDB_G0267322	DDB_G0267322_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	128570	129577	+	DDB_G0267324	DDB_G0267324_RTE	ORF1 protein of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	129934	132491	+	DDB_G0267326	DDB_G0267326_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	132940	134658	-	DDB_G0267328	DDB_G0267328_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	135308	136312	-	DDB_G0267330	DDB_G0267330_RTE	ORF1 protein of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	137038	137749	-	DDB_G0267332	DDB_G0267332	NA
chr1	138334	138819	-	DDB_G0267338	DDB_G0267338_RTE	ORF3 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	139298	139765	+	DDB_G0267334	DDB_G0267334_RTE	ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	142027	144884	-	DDB_G0267336	DDB_G0267336_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-B%3B refer to AF298202 for full-length consensus element
chr1	145444	148322	+	DDB_G0267342	DDB_G0267342_RTE	ORF2 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	149314	151160	+	DDB_G0267344	DDB_G0267344	NA
chr1	151286	152888	+	DDB_G0267346	DDB_G0267346	NA
chr1	153529	154134	-	DDB_G0267348	DDB_G0267348_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	154265	154810	-	DDB_G0267350	DDB_G0267350_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	158583	161024	+	DDB_G0267352	DDB_G0267352_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	161143	162112	+	DDB_G0267354	DDB_G0267354_TE	ORF2 (contains 2 introns) encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	162941	166942	-	DDB_G0267356	DDB_G0267356_RTE	long terminal repeat retrotransposon Skipper GAG-PRO-POL%3B refer to GenBank AF049230 for full length consensus element
chr1	167225	168373	-	DDB_G0267358	DDB_G0267358_RTE	ORF1 encoding GAG and protease (PRO) proteins of long terminal repeat retrotransposon Skipper%3B refer to AF049230 for consensus element
chr1	169365	173608	-	DDB_G0267362	DDB_G0267362_RTE	long terminal repeat retrotransposon Skipper GAG-PRO-POL%3B refer to GenBank AF049230 for full length consensus element
chr1	173832	174272	-	DDB_G0267364	DDB_G0267364_RTE	ORF1 encoding GAG and protease (PRO) proteins of long terminal repeat retrotransposon Skipper%3B refer to AF049230 for consensus element
chr1	174742	175393	-	DDB_G0305708	DDB_G0305708_RTE	ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	184608	186454	+	DDB_G0305706	DDB_G0305706_RTE	ORF1 protein fragment of DIRS1 retrotransposon%3B refer to Genbank M11339 for full-length element
chr1	186996	190370	-	DDB_G0267366	DDB_G0267366_RTE	long terminal repeat retrotransposon Skipper GAG-PRO-POL%3B refer to GenBank AF049230 for full length consensus element
chr1	191815	192624	-	DDB_G0267370	DDB_G0267370_TE	ORF2 (contains 2 introns) encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	193516	194159	+	DDB_G0267372	DDB_G0267372_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	194176	194850	+	DDB_G0268474	DDB_G0268474_RTE	ORF1 of tRNA-specific non-long terminal repeat retrotransposon TRE5-A%3B formerly known as DRE
chr1	195959	196984	-	DDB_G0268476	DDB_G0268476_TE	ORF1 encoding a protein of unknown function of the putative DNA transposon DDT-A%3B refer to AF298201 for full-length consensus element
chr1	198724	200556	-	DDB_G0268260	DDB_G0268260	NA
chr1	201217	203254	+	DDB_G0267458	DDB_G0267458	NA
chr1	203419	206582	-	DDB_G0267480	nup93	similar to the mammalian nucleoporin complex component Nup93 to and to S. cerevisiae NIC96 that are required for correct nuclear pore assembly
chr1	206837	207171	+	DDB_G0267482	DDB_G0267482	NA
chr1	208100	208842	+	DDB_G0267484	acp1	conserved low molecular weight phosphotyrosine protein phosphatase%2C acts on tyrosine phosphorylated proteins%2C low-MW aryl phosphates and natural and synthetic acyl phosphates
chr1	208945	209681	-	DDB_G0267486	DDB_G0267486	contains a 2Fe-2S ferredoxin-type iron-sulfur binding domain
chr1	210356	212554	+	DDB_G0267488	DDB_G0267488	NA
chr1	212712	214898	-	DDB_G0267490	ChLim	contains a N-terminal Calponin Homology (CH) domain%2C 3 LIM domains%2C and 4 LIM-related domains (LRDs)
chr1	215251	217562	-	DDB_G0267492	DDB_G0267492	putative metalloprotease of the peptidase M41 family%2C which belong to a larger family of zinc metalloproteases%3B includes the cell division protein FtsH
chr1	217763	218365	+	DDB_G0267494	DDB_G0267494	NA
chr1	218913	225973	+	DDB_G0267496	DDB_G0267496	NA
chr1	226283	227085	+	DDB_G0267498	pgpep	pyrrolidone-carboxylate peptidase selectively removes pyroglutamate from the amino terminus of proteins and peptides
chr1	227165	228343	-	DDB_G0267500	DDB_G0267500	NA
chr1	229145	230944	-	DDB_G0267450	pakC	STE20%2FPAK protein kinase required for normal chemotaxis%3B contains PAK-box%2FP21-Rho-binding (CRIB) domain and pleckstrin homology (PH) domain
chr1	231364	232044	-	DDB_G0268264	DDB_G0268264	similar to Entamoeba histolytica 20 kDa antigen
chr1	233800	236723	+	DDB_G0268266	DDB_G0268266	similar to D. purpureum protein
chr1	236992	238491	-	DDB_G0267502	DDB_G0267502	NA
chr1	238722	242663	+	DDB_G0268614	msh6	NA
chr1	243053	245068	+	DDB_G0267468	adprt4	catalyzes ADP-ribosylation%2C a posttranslational protein modification in which the ADP-ribose moiety of NAD is transferred onto specific amino acid side chains of cell surface%2C secreted%2C cytosolic or nuclear proteins
chr1	245416	247229	-	DDB_G0267504	DDB_G0267504	NA
chr1	248894	251043	+	DDB_G0267506	aslH	similar to acetyl-CoA synthetase%2C which condenses acetate and CoA to acetyl-coA
chr1	251537	252874	-	DDB_G0268268	DDB_G0268268	NA
chr1	254497	255225	-	DDB_G0267508	DDB_G0267508	NA
chr1	255654	256271	+	DDB_G0268478	DDB_G0268478	NA
chr1	256535	257366	-	DDB_G0267510	DDB_G0267510	similar to coiled-coil domain containing protein 43 (CCDC43)%3B contains two predicted coiled-coil domains
chr1	257711	258721	-	DDB_G0267512	DDB_G0267512	NA
chr1	259066	261816	-	DDB_G0267514	DDB_G0267514	member of the TKL (tyrosine kinase-like) group of protein kinases
chr1	263217	267660	-	DDB_G0267516	dhx57	putative RNA helicase%3B contains an RWD domain (RING finger and WD repeat)
chr1	269690	270976	-	DDB_G0267522	DDB_G0267522	NA
chr1	271374	272197	-	DDB_G0267524	ssr3	subunit of the TRAP complex aids in the translocation of nascent polypeptides into the lumen of the endoplasmic reticulum
chr1	272779	273967	+	DDB_G0267526	DDB_G0267526	NA
chr1	274124	275255	-	DDB_G0267528	DDB_G0267528	NA
chr1	276695	277327	+	DDB_G0267530	DDB_G0267530	NA
chr1	277655	278789	-	DDB_G0267408	psmA3	subunit of the 20S proteasome (macropain)%2C the endopeptidase complex involved in an ATP%2Fubiquitin-dependent nonlysosomal proteolytic pathway%3B in eukaryotes composed of up to 28 subunits%2C which form a highly ordered ring-shaped structure (20S ring)
chr1	279600	281837	-	DDB_G0268270	DDB_G0268270	contains a predicted signal peptide and a putative C-terminal transmembrane domain
chr1	283495	286152	+	DDB_G0267532	DDB_G0267532	NA
chr1	286362	287906	-	DDB_G0267388	dafE	NA
chr1	288484	289302	-	DDB_G0267534	DDB_G0267534	NA
chr1	289882	291134	+	DDB_G0267536	hibch	catalyzes the reaction: 3-hydroxy-2-methylpropanoyl-CoA %2B H2O %3D CoA %2B 3-hydroxy-2-methylpropanoate%3B ortholog of the mammalian HIBCH enzyme 
chr1	291771	293820	+	DDB_G0267538	DDB_G0267538	NA
chr1	294048	295439	-	DDB_G0268480	cdk10	putative cell division cycle 2 (CDC2)-like protein kinase%3B has similarity to PITSLRE proteins and other cyclin-dependent kinase 2 kinases
chr1	298527	300350	+	DDB_G0267470	dicB	forms a discoidin-inducing complex (DIC) with dicA1%2C pdsA%2C and an unknown protein%3B dicB alone does not induce discoidin expression
chr1	300608	303232	-	DDB_G0267540	scy1	N-terminal kinase-like (NTKL) protein%3B does not contain the consensus sequences required for kinase function%2C however%2C the SCY1 family encodes highly conserved non-canonical kinases that are believed to function
chr1	303809	304036	+	DDB_G0267542	DDB_G0267542	NA
chr1	304919	306988	-	DDB_G0268272	aslN	similar to acetyl-CoA synthetase%2C which condenses acetate and CoA to acetyl-coA
chr1	307708	309784	-	DDB_G0267544	aslM	similar to bacterial acetyl-CoA synthetase%2C which condenses acetate and CoA to acetyl-coA
chr1	311255	312670	+	DDB_G0267546	DDB_G0267546	NA
chr1	313115	316757	-	DDB_G0267548	elmoF	NA
chr1	318212	320010	+	DDB_G0268482	DDB_G0268482_ps	putative pseudogene%3B similar to %3Ca href%3D%22%2Fgene%2FDDB_G0274851%22%3EDDB_G0274851%3C%2Fa%3E%2C %3Ca href%3D%22%2Fgene%2FDDB_G0269606%22%3EDDB_G0269606 %3C%2Fa%3E
chr1	320689	321165	+	DDB_G0268274	DDB_G0268274	NA
chr1	322112	322810	+	DDB_G0268278	DDB_G0268278	NA
chr1	323194	324597	+	DDB_G0267550	DDB_G0267550	NA
chr1	324845	325596	-	DDB_G0267552	DDB_G0267552	NA
